"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s成功添加到收藏，点<a href=""%2$s"">这里</a>继续购物"
"%s's Wishlist","%s的收藏"
"* Required Fields","必填栏目"
"Add All to Cart","全部加入购物车"
"Add to Cart","加入购物车"
"Add to Wishlist","加入收藏"
"Added On","加入日期"
"Are You sure?","你确定吗?"
"Are you sure you want to remove this product from your wishlist?","您确认要从收藏中删除本商品吗？"
"Are you sure you would like to remove this item from the wishlist?","您确认要从收藏中删除本商品吗？"
"Back","返回"
"Can not add item to shopping cart","不能增加项目来购物车"
"Can\'t save description %s","无法保存说明%s"
"Cannot create wishlist","无法创建收藏"
"Cannot specify product","无法指定商品"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","如果要增加到您的收藏的RSS Feed的链接，请选择该方框。"
"Comment","评论"
"Comment:","评论:"
"Email Sender","电子邮件发件人"
"Email Template","电子邮件模板"
"Email address can\'t be empty.","电子邮件地址不能为空。"
"Email addresses, separated by commas","电子邮件地址，逗号分开"
"Enabled","启用收藏"
"General Options","基本选项"
"Go to Wishlist","转到收藏"
"Last Added Items","最后增加的商品"
"Message","内容"
"My Wishlist","我的收藏"
"My Wishlist (%d item)","我的收藏 (%d件商品)"
"My Wishlist (%d items)","我的收藏 (%d件商品)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","请输入有效的电子邮件地址，逗号分开。例如：johndoe@domain.com, johnsmith@domain.com"
"Please, enter your comments...","请输入您的说明 ..."
"Product","商品"
"RSS Feed","RSS 订阅"
"RSS link to %s's wishlist","RSS 链接到%s的收藏"
"Remove Item","删除商品"
"Share Wishlist","共享收藏"
"Share Your Wishlist","共享您能的收藏"
"Share options","共享选项"
"Sharing Information","共享信息"
"There was an error while adding item to wishlist.","增加商品到收藏时出错。"
"There was an error while adding item to wishlist: %s","增加商品到收藏：%s时出错"
"There was an error while deleting item from wishlist.","从收藏删除商品时出错。"
"There was an error while deleting item from wishlist: %s","从收藏：%s删除商品时出错"
"This product(s) is currently out of stock:","本商品缺货："
"Update Wishlist","更新收藏"
"View Product","查看商品"
"Wishlist","收藏"
"Wishlist Section","收藏单元"
"Wishlist Sharing","收藏共享"
"Wishlist is empty now.","收藏为空。"
"You have no items in your wishlist.","您的收藏中没有商品。"
"You input not valid email address.","您输入的电子邮件地址不正确。"
"Your Wishlist was successfully shared","成功共享您的收藏。"
