" The customer doesn\'t exist in the system anymore","该客户已不存在系统中"
"""%s"" coupon code is not valid.","""%s""优惠券代码不正确。"
"%s","%s"
"%s / %s rate:","%s / %s 比例："
"%s for %s","%s for %s"
"%s order(s) successfully canceled","成功取消 %s 个订单"
"%s order(s) successfully put on hold","成功挂起 %s 个订单"
"%s order(s) successfully released from holding status","成功取消 %s 个订单的挂起状态"
"* - Enter custom price excluding tax","* - 输入自定义价格（不含税）"
"* - Enter custom price including tax","* - 输入自定义价格（含税）"
"About This Order:","关于此订单："
"About Your Order","关于您的订单"
"Account Information","帐号信息"
"Action","操作"
"Actions","操作"
"Add","添加"
"Add Gift Messsage","添加礼物留言"
"Add New Address","添加新地址"
"Add Order Comments","添加订单备注"
"Add Products","添加商品"
"Add Selected Product(s) to Option","添加所选商品到选项"
"Add Selected Product(s) to Order","添加所选商品到订单"
"Add To Order","添加到订单"
"Add Tracking Number","增加运单号"
"Add a gift message for <strong>each gift item</strong>","增加<strong>每件礼物</strong>的礼物留言"
"Add a gift message for the <strong>entire order</strong>","增加<strong>整个订单</strong>的礼物留言"
"Add comment to order","添加订单备注"
"Add new comment to shipment","添加新的配送备注"
"Add new tracking number","添加新的运单号"
"Add to Cart","加入购物车"
"Address","地址"
"Address model is not defined","没有定义地址模块"
"Address total model should be extended from Mage_Sales_Model_Quote_Address_Total_Abstract","地址模块必须从 Mage_Sales_Model_Quote_Address_Total_Abstract扩展而来"
"Adjustment Fee","差价"

"Adjustment Refund","差价退款"
"Allow Reorder","允许重下订单"
"Amount","金额"
"Append Comments","增加备注"
"Apply","应用"
"Apply Coupon Code","使用优惠券"
"Are you sure you want to cancel this order?","您确认要取消该订单吗？"
"Are you sure?","您确认吗？"
"Are you sure? This order will be cancelled and a new one will be created instead","您确认吗？该订单将被取消并会生成新订单"
"Back to My Orders","返回我的订单"
"Backordered","缺货订单"
"Bill to First name","账单名字"
"Bill to Last name","账单姓氏"
"Bill to Name","账单姓名"
"Billing Address","账单地址"
"Buy %s for price %s","购买 %s每件%s"
"Can not add order history.","无法增加订单日志。"
"Can not do invoice for order.","无法为订单生成发票"
"Can not do shipment for order.","无法执行订单配送。"
"Can not register existing creditmemo","无法登记已有付款"
"Can not register existing invoice","无法登记已有发票"
"Can not register existing shipment","无法登记已有配送"
"Can\'t get order instance","无法获取订单实例"

"Cancel","取消"
"Cancel invoice","取消发票"
"Cancel order","取消订单"
"Canceled","已取消"
"Cannot create an empty shipment.","无法创建空配送记录"
"Capture","接收"
"Capture Amount","接收金额"
"Capture Offline","离线接收"
"Capture Online","在线接收"
"Capture invoice","自动生成发票"
"Carrier","快递公司"
"Change Status","更改状态"
"Change status, add comments","更改状态，添加备注"
"Checkout totals sort order","总额计算顺序"
"Click to change shipping method","点击修改配送方式"
"Closed","关闭"
"Comment","备注"
"Comment Text","备注文字"
"Comments","备注"
"Comments History","备注历史"
"Complete","完成"
"Country","国家"
"Coupons","优惠券"
"Create","创建"
"Create New Customer","新建客户"
"Create New Order","新建订单"
"Create New Order for %s","创建%s的订单"

"Create New Order for %s in %s","创建%s的新订单于%s"
"Create New Order for New Customer","创建新客户的订单"
"Create New Order for New Customer in %s","创建新客户的订单于%s"

"Create Shipment","创建配送记录"
"Create new invoice for order","创建订单发票"
"Create new shipment for order","创建订单配送记录""
"Created At","创建于"
"Credit Memo","退款"
"Credit Memo #","退款记录 #"
"Credit Memo # ","退款记录 #"
"Credit Memo Comment Email Sender","退款记录备注邮件发件人"
"Credit Memo Comment Email Template","退款记录备注邮件模板"
"Credit Memo Comment Email Template for Guest","访客退款记录备注邮件模板"
"Credit Memo Comments","退款记录备注"
"Credit Memo Email Sender","退款记录邮件发件人"
"Credit Memo Email Template","退款记录邮件模板"
"Credit Memo Email Template for Guest","访客退款邮件模板"
"Credit Memo Update","退款记录更新"
"Credit Memo Update for Guest","访客退款记录更新"
"Credit Memo email not sent","未发送退款记录邮件"
"Credit Memo email sent","已发送退款记录邮件"
"Credit Memos","退款记录"
"Creditmemo","退款记录"
"Custom Options","自定义选项"
"Custom Price","自定义价格"
"Custom Value","自定义值"
"Customer","客户"
"Customer Group","客户分组"
"Customer Name","客户姓名"
"Customer\'s Current Activities","客户当前活动"
"Date","日期"
"Date Shipped","发货日期"
"Date of Birth","出生日期"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)","缺省 logo, 将用于 PDF 和 HTML 文档。<br />(jpeg, tiff, png)"
"Delete","删除"
"Description message","说明信息"
"Discount","优惠"
"Discount ","优惠 "
"Discount (%s)","优惠 (%s)"
"Discount :","优惠："
"Discount Amount","优惠金额"
"Discount%s","优惠%s"
"Display Order ID in Header","在头部显示订单ID"
"Document","文档"
"Edit","修改"
"Edit Gift Messsage","修改礼物留言"
"Edit Order #%s","修改订单 %s"
"Email","电子邮件"
"Email Copy of Credit Memo","发送退款记录副本邮件"
"Email Copy of Invoice","发送发票副本电子邮件"
"Email Copy of Shipment","发送配送记录副本邮件"
"Email Order Confirmation","发送订单确认邮件"
"Enable","启用"
"Enabled","已启用"
"Error to show in shopping cart","购物车错误提示"
"Excl. Tax","不含税"
"From","来自"
"From Name","姓名"
"From:","来自："
"G.T. (Base)","G.T. (基准)"
"G.T. (Purchased)","G.T. (已购买)"
"Get shipping methods and rates","查询配送方式和价格"
"Gift","礼物"
"Gift Certificate","礼物收据"
"Gift Message","礼物留言"
"Gift Message for Entire Order","整个订单的礼物留言"
"Gift Message for this Order","该订单的礼物留言"
"Grand Total","总额"
"Grand Total to be charged","应付款总额"
"Grand Total:","总额："
"Guest","访客"
"Hold","等待"
"Hold action is not available","等待操作不可用"
"Hold order","挂起订单"
"ID","编号"
"If empty, the default description above will be used","放空则使用缺省说明信息"
"If empty, the default error above will be used","放空则使用缺省提示。"
"Incl. Tax","含税"
"Information","信息"
