" There was an error occurred during paying process."," 支付过程中发生错误."
"Bank","银行"
"Credit Mutuel","Credit Mutuel"
"Customer returned from Cybermut.","Customer returned from Cybermut."
"Customer successfully returned from Cybermut","Customer successfully returned from Cybermut"
"Customer was redirected to Cybermut","Customer was redirected to Cybermut"
"Cybermut Payment", "Cybermut Payment"
"Service Type","服务类型"
"Default Cybermut Interface language","Default Cybermut Interface language"
"Dutch","Dutch"
"Enabled","启用"
"English","英语"
"Error occured","发生错误"
"French","法语"
"German","德语"
"Groupe CIC","Groupe CIC"
"Gateway","网关"
"Italian","意大利"
"Key","Key"
"New order status","新订单状态"
"OBC","OBC"
"Order %s","订单 %s"
"Order number will be used if left empty","Order number will be used if left empty"
"Order status when payment accepted by Cybermut", "Order status when payment accepted by Cybermut"
"Order status when payment refused by Cybermut", "Order status when payment refused by Cybermut"
"Partner ID","伙伴ID"
"Order status when payment accepted by Alipay","当支付被支付宝接受后的订单状态"
"Order status when payment refused by Alipay","当支付被支付宝拒绝后的订单状态"
"Payment accepted by Cybermut", "Payment accepted by Cybermut"
"Payment from Specific countries","具体可支付的国家"
"Payment from applicable countries","允许使用支付宝支付的国家"
"Payment refused by Cybermut", "Payment refused by Cybermut"
"Preference will be given to store language chosen by the user", "Preference will be given to store language chosen by the user"
"Returned MAC is invalid. Order cancelled.","Returned MAC is invalid. Order cancelled."
"SHA key","SHA key"
"Site code","站点代码"
"Sort order","排序"
"Spain","西班牙"
"Seller Email","卖家Email"
"Security Code","安全码"
"TPE number","TPE number"
"Test mode","测试模式"
"There was an error occurred during paying process.","There was an error occurred during paying process."
"Title","标题"
"Transaction Description","Transaction Description"
"Transport","传输协议"
"You will be redirected to Alipay website when you place an order.","当您确认下订单后，系统将跳转到支付宝."
"You will be redirected to Cybermut in a few seconds.","You will be redirected to Cybermut in a few seconds."
"You will be redirected to Cybermut website when you place an order.","You will be redirected to Cybermut website when you place an order."
"Products","商品"
"Virtual Products","虚拟商品"
