"All Websites","所有网站"
"Apply Percent Discounts To FPT","应用折扣到商品固定税"
"Apply Tax To FPT","商品固定税应用税率"
"Display Prices In Emails","在邮件中显示价格"
"Display Prices In Product Lists","在商品列表中显示价格"
"Display Prices In Sales Modules","在销售模块中显示价格"
"Display Prices On Product View Page","在商品查看页面显示价格"
"Enable FPT","启用商品固定税"
"Excluding FPT","不包含商品固定税"
"Excluding FPT, FPT description, final price","不包含商品固定税，商品固定税 描述，最终价格"
"Fixed Product Tax","商品固定税"
"Fixed Product Taxes","商品固定税"
"Include FPT In Subtotal","小计中包含商品固定税"
"Including FPT and FPT description [excl. FPT VAT]","包含商品固定税和商品固定税描述 [不包含商品固定税增值税]"
"Including FPT and FPT description [incl. FPT VAT]","包含商品固定税和商品固定税描述 [包含商品固定税增值税]"
"Including FPT only","只含商品固定税"
"Total","总计"
"Total incl. tax","含税总计"
