"%s Item(s)","%s件商品"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","版权所有 &copy; 2008 Magento 演示商店"
"(Shift-)Click or drag to change value","(Shift-)点击或拖动来改变值"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- 点击任意时间部分增加值"
"- Hold mouse button on any of the above buttons for faster selection.","- 用鼠标按在任意按钮上来加速选择"
"- Use the %s buttons to select month","- 用 %s 按钮来选择月"
"- Use the %s, %s buttons to select year","- 用 %s, %s 按钮来选择年"
"- or Shift-click to decrease it","- 或切换点击来减少值"
"- or click and drag for faster selection.","- 或用点击和拖动来加速选择"
"1 column","1 列"
"2 columns with left bar","左栏中的2 列"
"2 columns with right bar","右栏中的2 列"
"3 columns","3 列"
"About the calendar","关于日历"
"Click <a href=""%s"">here</a> if nothing has happened","如果没有反应，请点击 <a href=""%s"">这里</a>"
"Close","关闭"
"Close Window","关闭窗口"
"DHTML Date/Time Selector","DHTML 日期/时间 选择器"
"Date selection:","日期选择:"
"Default Description","缺省说明"
"Default welcome msg!","缺省欢迎信息！"
"Display %s first","显示 %s 最先"
"Distributed under GNU LGPL. See %s for details.","分布在 GNU LGPL. See %s 的详细信息."
"Drag to move","用拖来移动"
"Empty","空值"
"For latest version visit: %s","最新的版本参看: %s"
"Go Today","今天开始"
"Help Us to Keep Magento Healthy","协助我们完善 Magento"
"Interface Language","界面语言"
"Items %s to %s of %s total","<span>%s到%s</span>%s商品"
"Next Page","下一页"
"Next month (hold for menu)","下一个月(hold for menu)"
"Next year (hold for menu)","下一年 (hold for menu)"
"Page:"," "
"Prev. month (hold for menu)","上一个月(hold for menu)"
"Prev. year (hold for menu)","上一年(hold for menu)"
"Previous Page","上一页"
"Redirecting...","正在重定向页面..."
"Report All Bugs","报告所有错误"
"Select Store","选择商店"
"Select date","选择日期"
"Show","显示"
"Skip to Footer","转到页脚"
"Skip to Left Column","转到左列"
"Skip to Main Content","转到主页眉"
"Skip to Right Column","转到右列"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","这是演示商店，所有订单都不会被处理。"
"Time selection:","时间选择:"
"Time:","时间:"
"We detected that your JavaScript seem to be disabled.","我们发现您的JavaScript脚本已被禁用"
"Welcome, %s!","欢迎您，%s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","必须在您的浏览器里加载JavaScript脚本，才能使用这个网站上的功能"
"You're currently on:","当前登录帐号："
"Your Language","您的语言"
"Your Language:","您的语言："
"per page","每页"
