"Add New Row","新增行"
"An error occurred while saving the file(s).","保存文件时出错。"
"Availability: In stock.","库存：有货。"
"Availability: Out of stock.","库存：无货。"
"Back","后退"
"Can\'t connect to remote host, error: %s","无法链接远程主机，错误： %s"
"Canceled","已取消"
"Date","日期"
"Default Link Title","缺省链接标题"
"Default Maximum Number of Downloads","缺省最多下载次数"
"Default Sample Title","缺省样品标题"
"Disable Guest Checkout if cart contains downloadable items","购物车中有可下载商品时，禁用访客结账"
"Downloadable Information","可下载信息"
"Downloadable Product","可下载商品"
"Downloadable Product Options","可下载商品选项"
"Downloadable product Section","可下载商品单元"
"Excl. Tax","不含税"
"File","文件"
"File does not exists","文件不存在"
"From:","从："
"Gift Message","礼物留言"
"Go to <a href=""%s"">My Downloadable Products</a>","转到 <a href=""%s"">我的可下载商品</a>"
"Guest checkout will only work with shareable","访客结账仅与可共享一起启用"
"Incl. Tax","含税"
"Invalid download URL host","下载 URL 主机不正确"
"Invalid download URL scheme","下载 URL 模式不正确"
"Invalid download link type","下载链接类型不正确"
"Invoiced","发票"
"Link has expired.","链接已过期."
"Link is not available.","链接不可用。"
"Links can be purchased separately","可购买单个链接"
"Max. Downloads","最大下载"
"Message:","消息："
"My Downloadable Products","我的可下载商品"
"Open Links in New Window","在新窗口中打开链接"
"Order #","订单 #"
"Order Item Status to enable Downloads","启用下载的订单项状态"
"Ordered","已订购"
"Pending","待定"
"Please log in to download your product.","请登录下载您的商品"
"Please set resource file and link type","请设置源文件和练级类型"
"Please specify product link(s).","请指定商品链接"
"Price","价格"
"Refunded","已退款"
"Remaining Downloads","保持下载"
"Remove item","删除商品"
"Requested link doesn't exist.","请求的链接不存在."
"Sample","样品"
"Shareable","可共享"
"Shipped","已发货"
"Sorry, the was an error getting requested content. Please contact store owner.","抱歉，获取请求内容时出错。请与店主联系。"
"Sorry, there was an error getting requested content","抱歉，获取请求内容时出错。"
"Sorry, there was an error getting requested content. Please contact store owner.","抱歉，获取请求内容时出错。请与店主联系。"
"Sort Order","排序"
"Start Download","开始下载"
"Status","状态"
"Title","标题"
"To:","到："
"U","U"
"Unlimited","无限"
"View Order","查看订单"
"You have no Downloadable Products.","您没有可下载的产品。"
"attachment","附件"
"download","下载"
"inline","在线"
"sample","样品"
